date;time;;open;high;low;close
10.12.2020;12;30;1,21098;1,21272;1,21097;1,21206
10.12.2020;12;35;1,21205;1,2129;1,21201;1,21267
10.12.2020;12;40;1,21266;1,21347;1,21249;1,21312
10.12.2020;12;45;1,21313;1,21346;1,21248;1,2133
10.12.2020;12;50;1,21331;1,21355;1,21215;1,2122
10.12.2020;12;55;1,21219;1,21314;1,2119;1,21256
10.12.2020;13;0;1,21257;1,21301;1,21139;1,21158
10.12.2020;13;5;1,2116;1,21197;1,21031;1,21044
10.12.2020;13;10;1,21046;1,2113;1,20965;1,21077
10.12.2020;13;15;1,21078;1,21123;1,21062;1,21101
10.12.2020;13;20;1,21101;1,21105;1,21043;1,21069
10.12.2020;13;25;1,21068;1,21077;1,21004;1,21073
10.12.2020;13;30;1,21075;1,21161;1,21074;1,21142
10.12.2020;13;35;1,2114;1,21292;1,21139;1,21267
10.12.2020;13;40;1,21266;1,21327;1,21245;1,21308
10.12.2020;13;45;1,21306;1,21401;1,21306;1,21383
10.12.2020;13;50;1,21383;1,21452;1,21383;1,21426
10.12.2020;13;55;1,21426;1,21548;1,21425;1,21523
10.12.2020;14;0;1,21522;1,21578;1,21506;1,21556
10.12.2020;14;5;1,21554;1,21588;1,21512;1,21513
10.12.2020;14;10;1,21517;1,21524;1,21418;1,21422
10.12.2020;14;15;1,21423;1,21438;1,21354;1,21359
10.12.2020;14;20;1,21359;1,21374;1,21315;1,21319
10.12.2020;14;25;1,21321;1,21352;1,21283;1,21316
10.12.2020;14;30;1,21317;1,21346;1,2122;1,21232
10.12.2020;14;35;1,21232;1,21319;1,21209;1,2131
10.12.2020;14;40;1,21308;1,21337;1,2125;1,21336
10.12.2020;14;45;1,21336;1,21373;1,21257;1,21263
10.12.2020;14;50;1,21263;1,21397;1,21263;1,21366
10.12.2020;14;55;1,21366;1,21389;1,21253;1,21325
10.12.2020;15;0;1,21328;1,21346;1,21266;1,21288
10.12.2020;15;5;1,21289;1,21296;1,21153;1,21159
10.12.2020;15;10;1,21161;1,2119;1,21136;1,21144
10.12.2020;15;15;1,21145;1,21166;1,21131;1,21154
10.12.2020;15;20;1,21155;1,21169;1,21131;1,21168
10.12.2020;15;25;1,21169;1,21192;1,21157;1,21187
10.12.2020;15;30;1,21191;1,21198;1,21145;1,21145
10.12.2020;15;35;1,21143;1,21149;1,21106;1,21121
10.12.2020;15;40;1,21122;1,21172;1,21113;1,21167
10.12.2020;15;45;1,21167;1,21207;1,21162;1,21196
10.12.2020;15;50;1,21196;1,21213;1,21166;1,21166
10.12.2020;15;55;1,21162;1,21188;1,21136;1,21167
10.12.2020;16;0;1,21168;1,21214;1,21166;1,212
10.12.2020;16;5;1,21201;1,2122;1,21189;1,21189
10.12.2020;16;10;1,21191;1,21272;1,21191;1,21256
10.12.2020;16;15;1,21258;1,21267;1,21227;1,2123
10.12.2020;16;20;1,21231;1,21243;1,21211;1,21213
10.12.2020;16;25;1,21215;1,21237;1,21213;1,21233
10.12.2020;16;30;1,21234;1,21242;1,21203;1,21216
10.12.2020;16;35;1,21216;1,21245;1,21204;1,21244
10.12.2020;16;40;1,21247;1,21255;1,21198;1,21217
10.12.2020;16;45;1,21218;1,21251;1,21216;1,21232
10.12.2020;16;50;1,21232;1,21232;1,21196;1,21196
10.12.2020;16;55;1,21197;1,21225;1,21174;1,212
10.12.2020;17;0;1,21201;1,21201;1,21134;1,21149
10.12.2020;17;5;1,21149;1,21178;1,21132;1,21146
10.12.2020;17;10;1,21145;1,21208;1,21135;1,21208
10.12.2020;17;15;1,21207;1,21245;1,21204;1,21245
10.12.2020;17;20;1,21244;1,21273;1,21235;1,21235
10.12.2020;17;25;1,21236;1,2125;1,21224;1,21231
10.12.2020;17;30;1,2123;1,21278;1,2123;1,21277
10.12.2020;17;35;1,21277;1,21278;1,21256;1,21259
10.12.2020;17;40;1,2126;1,21275;1,21256;1,21272
10.12.2020;17;45;1,21273;1,21287;1,21242;1,21251
10.12.2020;17;50;1,21252;1,21256;1,21226;1,21246
10.12.2020;17;55;1,21246;1,21255;1,21236;1,21252
10.12.2020;18;0;1,21252;1,21274;1,21251;1,21257
10.12.2020;18;5;1,21257;1,21265;1,21247;1,21265
10.12.2020;18;10;1,21264;1,21265;1,21227;1,21246
10.12.2020;18;15;1,21245;1,21245;1,21203;1,21225
10.12.2020;18;20;1,21224;1,21237;1,21218;1,21236
10.12.2020;18;25;1,21235;1,2125;1,21225;1,2125
10.12.2020;18;30;1,21247;1,21302;1,21245;1,21302
10.12.2020;18;35;1,21301;1,21347;1,21301;1,21346
10.12.2020;18;40;1,21345;1,21346;1,21322;1,21331
10.12.2020;18;45;1,21331;1,2136;1,21326;1,21356
10.12.2020;18;50;1,21356;1,21362;1,21344;1,21344
10.12.2020;18;55;1,21344;1,2135;1,21318;1,21336
10.12.2020;19;0;1,21338;1,21343;1,21321;1,21338
10.12.2020;19;5;1,21335;1,21346;1,21325;1,21327
10.12.2020;19;10;1,21327;1,21374;1,21325;1,21373
10.12.2020;19;15;1,21375;1,21421;1,21375;1,21395
10.12.2020;19;20;1,21394;1,21422;1,21386;1,2142
10.12.2020;19;25;1,21419;1,21426;1,21394;1,21416
10.12.2020;19;30;1,21416;1,21419;1,21394;1,21405
10.12.2020;19;35;1,21408;1,21424;1,21403;1,21403
10.12.2020;19;40;1,21407;1,21441;1,21407;1,21417
10.12.2020;19;45;1,21418;1,21439;1,21412;1,21426
10.12.2020;19;50;1,21425;1,21447;1,21419;1,2144
10.12.2020;19;55;1,21441;1,21447;1,21412;1,21427
10.12.2020;20;0;1,21427;1,21427;1,21348;1,21369
10.12.2020;20;5;1,21368;1,21399;1,21364;1,2137
10.12.2020;20;10;1,2137;1,21398;1,21362;1,21373
10.12.2020;20;15;1,21374;1,21375;1,21362;1,2137
10.12.2020;20;20;1,21369;1,21399;1,21369;1,21397
10.12.2020;20;25;1,21396;1,21409;1,21396;1,21408
10.12.2020;20;30;1,2141;1,21413;1,21403;1,21411
10.12.2020;20;35;1,2141;1,21422;1,21409;1,21418
10.12.2020;20;40;1,21416;1,21426;1,21414;1,21424
10.12.2020;20;45;1,21424;1,21424;1,21412;1,21419
10.12.2020;20;50;1,21418;1,21434;1,21416;1,21417
10.12.2020;20;55;1,21417;1,21424;1,21387;1,21398
10.12.2020;21;0;1,2136;1,21403;1,21342;1,21394
10.12.2020;21;5;1,21395;1,21395;1,21395;1,21395
10.12.2020;21;10;1,21385;1,21402;1,21385;1,21395
10.12.2020;21;15;1,21397;1,21403;1,21397;1,21403
10.12.2020;21;20;1,21402;1,21403;1,21402;1,21403
10.12.2020;21;25;1,21402;1,21402;1,21385;1,21395
10.12.2020;21;30;1,21391;1,21391;1,2139;1,21391
10.12.2020;21;35;1,21387;1,21404;1,21387;1,21397
10.12.2020;21;40;1,21403;1,21406;1,21397;1,21402
10.12.2020;21;45;1,21402;1,21403;1,21393;1,214
10.12.2020;21;50;1,21402;1,21404;1,21397;1,21401
10.12.2020;21;55;1,21402;1,21408;1,21398;1,21408
10.12.2020;22;0;1,21407;1,21425;1,21407;1,21416
10.12.2020;22;5;1,21415;1,2142;1,21413;1,21415
10.12.2020;22;10;1,21415;1,21426;1,2141;1,21426
10.12.2020;22;15;1,21426;1,21434;1,21413;1,21433
10.12.2020;22;20;1,21433;1,21438;1,2143;1,21431
10.12.2020;22;25;1,21431;1,21436;1,21425;1,21428
10.12.2020;22;30;1,21428;1,21436;1,21424;1,21428
10.12.2020;22;35;1,2143;1,21432;1,21423;1,2143
10.12.2020;22;40;1,21428;1,21431;1,21406;1,21409
10.12.2020;22;45;1,21408;1,21421;1,21404;1,21421
10.12.2020;22;50;1,2142;1,21439;1,21418;1,21438
10.12.2020;22;55;1,21437;1,2144;1,21423;1,21433
10.12.2020;23;0;1,21434;1,21459;1,21427;1,21457
10.12.2020;23;5;1,21458;1,21465;1,21445;1,21447
10.12.2020;23;10;1,21446;1,21467;1,21441;1,21457
10.12.2020;23;15;1,21457;1,21463;1,21436;1,21439
10.12.2020;23;20;1,21438;1,21449;1,21426;1,21429
10.12.2020;23;25;1,21428;1,21435;1,21427;1,21432
10.12.2020;23;30;1,21433;1,21433;1,21412;1,21417
10.12.2020;23;35;1,21417;1,21425;1,21417;1,21425
10.12.2020;23;40;1,21424;1,21434;1,21424;1,21429
10.12.2020;23;45;1,21429;1,21431;1,21406;1,21406
10.12.2020;23;50;1,21405;1,21427;1,21405;1,21422
10.12.2020;23;55;1,2142;1,21452;1,21402;1,21447
11.12.2020;0;0;1,21446;1,21516;1,21446;1,21513
11.12.2020;0;5;1,21512;1,21548;1,21512;1,21537
11.12.2020;0;10;1,21537;1,21537;1,21486;1,21517
11.12.2020;0;15;1,21517;1,21556;1,21513;1,21553
11.12.2020;0;20;1,21551;1,21597;1,21545;1,21582
11.12.2020;0;25;1,21581;1,21583;1,21549;1,21553
11.12.2020;0;30;1,21554;1,21575;1,21552;1,21563
11.12.2020;0;35;1,21563;1,21583;1,21562;1,21564
11.12.2020;0;40;1,21563;1,21585;1,21563;1,21584
11.12.2020;0;45;1,21584;1,21588;1,21574;1,21583
11.12.2020;0;50;1,21584;1,21595;1,21581;1,21594
11.12.2020;0;55;1,21594;1,216;1,21547;1,21556
11.12.2020;1;0;1,21556;1,21557;1,21526;1,2153
11.12.2020;1;5;1,21531;1,21534;1,2151;1,21528
11.12.2020;1;10;1,21527;1,21533;1,21522;1,21531
11.12.2020;1;15;1,21532;1,21536;1,21523;1,21523
11.12.2020;1;20;1,21524;1,21545;1,21517;1,21544
11.12.2020;1;25;1,21544;1,21552;1,21543;1,21548
11.12.2020;1;30;1,2155;1,2155;1,21514;1,21529
11.12.2020;1;35;1,21531;1,21533;1,21519;1,21521
11.12.2020;1;40;1,21521;1,21526;1,2151;1,21526
11.12.2020;1;45;1,21527;1,21537;1,21522;1,21529
11.12.2020;1;50;1,21528;1,21552;1,21522;1,21552
11.12.2020;1;55;1,21552;1,21588;1,21551;1,21573
11.12.2020;2;0;1,21573;1,2158;1,21562;1,21564
11.12.2020;2;5;1,21563;1,21563;1,21544;1,21551
11.12.2020;2;10;1,21552;1,21562;1,21537;1,21538
11.12.2020;2;15;1,21541;1,21562;1,21541;1,2156
11.12.2020;2;20;1,21559;1,21574;1,21555;1,21572
11.12.2020;2;25;1,21572;1,21589;1,21567;1,21589
11.12.2020;2;30;1,21587;1,21587;1,21566;1,2157
11.12.2020;2;35;1,21569;1,21571;1,21558;1,21564
11.12.2020;2;40;1,21564;1,21595;1,21563;1,21591
11.12.2020;2;45;1,21591;1,21594;1,2157;1,21574
11.12.2020;2;50;1,21574;1,21579;1,21565;1,2157
11.12.2020;2;55;1,21569;1,21588;1,21568;1,21578
11.12.2020;3;0;1,21578;1,21597;1,21576;1,21594
11.12.2020;3;5;1,21593;1,216;1,21592;1,21597
11.12.2020;3;10;1,21596;1,21598;1,21574;1,21578
11.12.2020;3;15;1,21579;1,21588;1,21574;1,21588
11.12.2020;3;20;1,21589;1,2159;1,21581;1,21586
11.12.2020;3;25;1,21587;1,21591;1,21586;1,21588
11.12.2020;3;30;1,21587;1,21588;1,21578;1,21587
11.12.2020;3;35;1,21587;1,21596;1,21585;1,21586
11.12.2020;3;40;1,21586;1,21587;1,21576;1,21583
11.12.2020;3;45;1,21582;1,21584;1,21574;1,21579
11.12.2020;3;50;1,21578;1,21579;1,21562;1,21562
11.12.2020;3;55;1,21562;1,21564;1,21551;1,21553
11.12.2020;4;0;1,21553;1,21578;1,21551;1,21577
11.12.2020;4;5;1,21578;1,21578;1,21552;1,21553
11.12.2020;4;10;1,21552;1,21555;1,2154;1,21548
11.12.2020;4;15;1,21548;1,21561;1,21547;1,21553
11.12.2020;4;20;1,21553;1,21555;1,2154;1,21541
11.12.2020;4;25;1,21539;1,21548;1,21536;1,21542
11.12.2020;4;30;1,21542;1,21545;1,21535;1,21542
11.12.2020;4;35;1,21543;1,21547;1,21541;1,21546
11.12.2020;4;40;1,21546;1,21548;1,21538;1,21548
11.12.2020;4;45;1,21547;1,21563;1,21547;1,21555
11.12.2020;4;50;1,21556;1,21576;1,21552;1,21574
11.12.2020;4;55;1,21575;1,21576;1,21553;1,21553
11.12.2020;5;0;1,21553;1,21573;1,21553;1,21566
11.12.2020;5;5;1,21567;1,21575;1,21562;1,21573
11.12.2020;5;10;1,21574;1,21584;1,21564;1,21571
11.12.2020;5;15;1,2157;1,21577;1,21548;1,21561
11.12.2020;5;20;1,21564;1,21585;1,21559;1,21585
11.12.2020;5;25;1,21585;1,21612;1,21582;1,21608
11.12.2020;5;30;1,21609;1,21621;1,21598;1,21615
11.12.2020;5;35;1,21615;1,21629;1,21582;1,21593
11.12.2020;5;40;1,21592;1,21595;1,2158;1,21592
11.12.2020;5;45;1,21592;1,21604;1,21587;1,21598
11.12.2020;5;50;1,21599;1,21604;1,21582;1,21582
11.12.2020;5;55;1,21583;1,21587;1,21565;1,21566
11.12.2020;6;0;1,21567;1,21584;1,21552;1,21556
11.12.2020;6;5;1,21555;1,21568;1,21548;1,21553
11.12.2020;6;10;1,21554;1,21586;1,21552;1,21585
11.12.2020;6;15;1,21586;1,21594;1,21564;1,21589
11.12.2020;6;20;1,21589;1,21589;1,21547;1,21554
11.12.2020;6;25;1,21554;1,21561;1,21526;1,21533
11.12.2020;6;30;1,21532;1,21542;1,21427;1,2144
11.12.2020;6;35;1,21439;1,21453;1,2141;1,2142
11.12.2020;6;40;1,21421;1,21421;1,21343;1,21349
11.12.2020;6;45;1,21348;1,21357;1,21303;1,21327
11.12.2020;6;50;1,21326;1,21337;1,21284;1,21289
11.12.2020;6;55;1,21289;1,2132;1,21257;1,21307
11.12.2020;7;0;1,21306;1,21351;1,21286;1,21348
11.12.2020;7;5;1,21349;1,21349;1,213;1,21315
11.12.2020;7;10;1,21316;1,21352;1,21279;1,21285
11.12.2020;7;15;1,21284;1,21287;1,21169;1,21177
11.12.2020;7;20;1,21177;1,21216;1,21141;1,2117
11.12.2020;7;25;1,21171;1,21213;1,2116;1,21197
11.12.2020;7;30;1,21198;1,21252;1,21183;1,21252
11.12.2020;7;35;1,2125;1,21276;1,21237;1,21246
11.12.2020;7;40;1,21247;1,21314;1,21236;1,21305
11.12.2020;7;45;1,21304;1,21304;1,21223;1,21231
11.12.2020;7;50;1,21233;1,21267;1,21216;1,2122
11.12.2020;7;55;1,2122;1,21266;1,21203;1,21257
11.12.2020;8;0;1,21256;1,21334;1,21256;1,21299
11.12.2020;8;5;1,213;1,21305;1,21249;1,21256
11.12.2020;8;10;1,21259;1,21303;1,21252;1,21278
11.12.2020;8;15;1,21277;1,21336;1,21275;1,21333
11.12.2020;8;20;1,21332;1,21339;1,21274;1,21274
11.12.2020;8;25;1,21275;1,21291;1,21246;1,21289
11.12.2020;8;30;1,21292;1,21309;1,21277;1,21277
11.12.2020;8;35;1,21278;1,21317;1,21278;1,21299
11.12.2020;8;40;1,21299;1,21317;1,21282;1,21302
11.12.2020;8;45;1,21301;1,21315;1,21254;1,21266
11.12.2020;8;50;1,21266;1,21268;1,21169;1,21184
11.12.2020;8;55;1,21185;1,21195;1,21124;1,21176
11.12.2020;9;0;1,21175;1,21254;1,21163;1,21252
11.12.2020;9;5;1,21251;1,21265;1,21237;1,21238
11.12.2020;9;10;1,2124;1,21294;1,21236;1,21278
11.12.2020;9;15;1,21277;1,21284;1,21247;1,21247
11.12.2020;9;20;1,21248;1,21294;1,21231;1,21294
11.12.2020;9;25;1,21293;1,21357;1,21293;1,21322
11.12.2020;9;30;1,21321;1,21376;1,21316;1,21324
11.12.2020;9;35;1,21323;1,21336;1,21281;1,21288
11.12.2020;9;40;1,21287;1,21307;1,21282;1,21291
11.12.2020;9;45;1,21289;1,21291;1,21255;1,21261
11.12.2020;9;50;1,2126;1,21268;1,21236;1,21238
11.12.2020;9;55;1,21237;1,2124;1,21185;1,21192
11.12.2020;10;0;1,21191;1,21228;1,21163;1,21225
11.12.2020;10;5;1,21227;1,2125;1,2121;1,21241
11.12.2020;10;10;1,2124;1,21255;1,21188;1,21198
11.12.2020;10;15;1,21198;1,21198;1,21145;1,21157
11.12.2020;10;20;1,21159;1,21166;1,21144;1,21152
11.12.2020;10;25;1,21151;1,21166;1,21136;1,21164
11.12.2020;10;30;1,21164;1,21185;1,21159;1,21165
11.12.2020;10;35;1,21166;1,21187;1,2115;1,21182
11.12.2020;10;40;1,21183;1,21197;1,21102;1,21138
11.12.2020;10;45;1,2114;1,21222;1,21138;1,21215
11.12.2020;10;50;1,21215;1,21231;1,21155;1,21155
11.12.2020;10;55;1,21156;1,21224;1,21156;1,21218
11.12.2020;11;0;1,21218;1,21225;1,21147;1,21158
11.12.2020;11;5;1,21161;1,21198;1,21139;1,21196
11.12.2020;11;10;1,21197;1,21208;1,2119;1,21194
11.12.2020;11;15;1,21193;1,21224;1,21191;1,21221
11.12.2020;11;20;1,21219;1,21234;1,21196;1,21225
11.12.2020;11;25;1,21224;1,21241;1,21209;1,21226
11.12.2020;11;30;1,21226;1,21249;1,21212;1,21229
11.12.2020;11;35;1,21229;1,21266;1,21228;1,21249
11.12.2020;11;40;1,21249;1,21292;1,21241;1,21252
11.12.2020;11;45;1,21253;1,21288;1,21253;1,21276
11.12.2020;11;50;1,21274;1,21301;1,21255;1,21267
11.12.2020;11;55;1,21267;1,21278;1,21251;1,21263
11.12.2020;12;0;1,21263;1,21291;1,21249;1,21275
11.12.2020;12;5;1,21276;1,21285;1,21231;1,21245
11.12.2020;12;10;1,21245;1,21271;1,2122;1,21269
11.12.2020;12;15;1,21267;1,21302;1,21261;1,21267
11.12.2020;12;20;1,21266;1,21266;1,21192;1,21194
11.12.2020;12;25;1,21194;1,21216;1,21179;1,21187
11.12.2020;12;30;1,21191;1,21254;1,21177;1,21236
11.12.2020;12;35;1,21236;1,21263;1,21206;1,21261
11.12.2020;12;40;1,21259;1,21269;1,21238;1,21244
11.12.2020;12;45;1,21244;1,21296;1,21238;1,21284
11.12.2020;12;50;1,21283;1,21283;1,21202;1,21202
11.12.2020;12;55;1,21204;1,21207;1,21139;1,21155
11.12.2020;13;0;1,21155;1,21172;1,21139;1,21166
11.12.2020;13;5;1,21165;1,21176;1,21138;1,21172
11.12.2020;13;10;1,21172;1,21215;1,21168;1,21214
11.12.2020;13;15;1,21212;1,21299;1,21212;1,21279
11.12.2020;13;20;1,21281;1,21333;1,21272;1,21287
11.12.2020;13;25;1,21285;1,21285;1,21216;1,21229
11.12.2020;13;30;1,21228;1,21256;1,21194;1,21207
11.12.2020;13;35;1,21208;1,21242;1,21207;1,21216
11.12.2020;13;40;1,21216;1,21216;1,21123;1,21128
11.12.2020;13;45;1,21128;1,21159;1,21124;1,21145
11.12.2020;13;50;1,21145;1,21178;1,2111;1,21168
11.12.2020;13;55;1,21168;1,21216;1,21161;1,2117
11.12.2020;14;0;1,2117;1,21223;1,21169;1,21194
11.12.2020;14;5;1,21196;1,21239;1,21191;1,2121
11.12.2020;14;10;1,21209;1,21277;1,21201;1,21266
11.12.2020;14;15;1,21267;1,21275;1,21188;1,21234
11.12.2020;14;20;1,21233;1,21246;1,21205;1,21235
11.12.2020;14;25;1,21235;1,21274;1,21234;1,21264
11.12.2020;14;30;1,21264;1,21291;1,21259;1,21259
11.12.2020;14;35;1,21257;1,2126;1,21184;1,21246
11.12.2020;14;40;1,21245;1,21255;1,21152;1,21207
11.12.2020;14;45;1,21208;1,21221;1,21157;1,21161
11.12.2020;14;50;1,21162;1,21172;1,21111;1,21139
11.12.2020;14;55;1,21138;1,21138;1,21053;1,21067
11.12.2020;15;0;1,21069;1,21124;1,2106;1,21102
11.12.2020;15;5;1,21103;1,21114;1,21077;1,211
11.12.2020;15;10;1,21099;1,21135;1,21094;1,21119
11.12.2020;15;15;1,2112;1,2114;1,21096;1,21133
11.12.2020;15;20;1,21133;1,2115;1,2111;1,21128
11.12.2020;15;25;1,21128;1,21145;1,21116;1,21126
11.12.2020;15;30;1,21126;1,2113;1,21101;1,21124
11.12.2020;15;35;1,21125;1,21132;1,21084;1,21088
11.12.2020;15;40;1,21088;1,21136;1,21088;1,21126
11.12.2020;15;45;1,21127;1,21127;1,21094;1,21109
11.12.2020;15;50;1,21108;1,21151;1,21106;1,21146
11.12.2020;15;55;1,21147;1,21156;1,21099;1,21123
11.12.2020;16;0;1,21122;1,21126;1,21098;1,21101
11.12.2020;16;5;1,21101;1,21111;1,2108;1,21111
11.12.2020;16;10;1,21111;1,21133;1,21104;1,21123
11.12.2020;16;15;1,21121;1,21134;1,21115;1,2112
11.12.2020;16;20;1,2112;1,21157;1,21117;1,21152
11.12.2020;16;25;1,21151;1,21153;1,21132;1,21149
11.12.2020;16;30;1,21148;1,21158;1,21121;1,21135
11.12.2020;16;35;1,21136;1,21154;1,21109;1,21124
11.12.2020;16;40;1,21124;1,21127;1,21099;1,21101
